played_at_utc,played_date_utc,song_name,artist_name,song_duration_ms,song_link,album_art_link,album_name,album_release_date,album_id,artist_id
2022-12-21T05:36:49.092Z,2022-12-21,チキチキバンバン,QUEENDOM,202500,https://open.spotify.com/track/7xm0KJMfeaJQmQdDxAipiY,https://i.scdn.co/image/ab67616d00001e02a873ce4c458e732a422d342f,チキチキバンバン,2022-05-20,1BWf1vYaM0zNWE6uuFFcvF,6IW91qUpcrhbGuZxubrG70
2022-12-21T05:33:28.585Z,2022-12-21,煽げや尊し,Reol,217106,https://open.spotify.com/track/2LeHTvjUmiR1A6L9txGDfm,https://i.scdn.co/image/ab67616d00001e026968e389f956d5f84ce66d85,煽げや尊し,2022-07-27,54Jl0Cvkj6wS8oJnLyCsVB,7rpKUJ0AnklJ8q9nIPVSpZ
2022-12-21T05:29:50.880Z,2022-12-21,Dilemma,Apink,209207,https://open.spotify.com/track/3j0x2BUUtm2obQXS1lZuN3,https://i.scdn.co/image/ab67616d00001e020582560196a977f50cc8411b,HORN,2022-02-14,6GeYzOIumBxJ4iF41J3KXM,2uWcrwgWmZcQc3IPBs3tfU
2022-12-21T04:55:54.923Z,2022-12-21,BTBT,B.I,219549,https://open.spotify.com/track/4XcxgZSriCYamtIA7BgT7V,https://i.scdn.co/image/ab67616d00001e022f485bcd37d1d6733d324f7d,BTBT,2022-05-13,6z2Ij8op0iB16BnmrCy0vH,0UntV1Bw2hk3fbRrm9eMP6
2022-12-21T04:55:53.239Z,2022-12-21,BTBT,B.I,219549,https://open.spotify.com/track/4XcxgZSriCYamtIA7BgT7V,https://i.scdn.co/image/ab67616d00001e022f485bcd37d1d6733d324f7d,BTBT,2022-05-13,6z2Ij8op0iB16BnmrCy0vH,0UntV1Bw2hk3fbRrm9eMP6
2022-12-21T04:52:24.881Z,2022-12-21,Keep me up,B.I,206659,https://open.spotify.com/track/1h3hfUrphvCzFNPCsglzp2,https://i.scdn.co/image/ab67616d00001e026d5b4843586aa31bdd137f9e,"Love or Loved, Pt. 1",2022-11-18,3EQ7btJiTEaKDE8I1uScm4,0UntV1Bw2hk3fbRrm9eMP6
2022-12-21T04:48:57.047Z,2022-12-21,Good Boy Gone Bad,TOMORROW X TOGETHER,191038,https://open.spotify.com/track/1HsSIPLTQT354yJcQGfEY3,https://i.scdn.co/image/ab67616d00001e0213ac5d67675999ba7b9c4f21,minisode 2: Thursday's Child,2022-05-09,1o8jYrnyZueTPIdhlHuTc8,0ghlgldX5Dd6720Q3qFyQB
2022-12-21T04:45:46.552Z,2022-12-21,Generation,tripleS,164186,https://open.spotify.com/track/1RHTdr5QfviCYI70QPPDJN,https://i.scdn.co/image/ab67616d00001e021be910fd8122cd805d651a8d,Acid Angel from Asia <ACCESS>,2022-10-28,0EsUBCjxGF328J7VRAE48Y,5Z71xE9prhpHrqL5thVMyK
2022-12-21T04:43:01.507Z,2022-12-21,煽げや尊し,Reol,217106,https://open.spotify.com/track/2LeHTvjUmiR1A6L9txGDfm,https://i.scdn.co/image/ab67616d00001e026968e389f956d5f84ce66d85,煽げや尊し,2022-07-27,54Jl0Cvkj6wS8oJnLyCsVB,7rpKUJ0AnklJ8q9nIPVSpZ
2022-12-21T04:39:23.770Z,2022-12-21,Angel,CHANMINA,191566,https://open.spotify.com/track/4iShk7X3Q8vVIIiFENs9Yz,https://i.scdn.co/image/ab67616d00001e02b6274d484c9ea468882ada0d,Harenchi,2021-10-13,1q9RWaiqhyFz8tYrl57w98,2vjeuQwzSP5ErC1S41gONX
2022-12-21T04:36:11.330Z,2022-12-21,Blueming,IU,217053,https://open.spotify.com/track/4Dr2hJ3EnVh2Aaot6fRwDO,https://i.scdn.co/image/ab67616d00001e02b658276cd9884ef6fae69033,Love poem,2019-11-18,2xEH7SRzJq7LgA0fCtTlxH,3HqSLMAZ3g3d5poNaI7GOU
2022-12-21T04:32:34.351Z,2022-12-21,What,Dreamcatcher,205345,https://open.spotify.com/track/4BdpM8bR0nifsaqSz3qphQ,https://i.scdn.co/image/ab67616d00001e028c0b09a8965bb16ff3f7d889,Alone In The City,2018-09-20,68esmTNXocYLPEbLD1c7si,5V1qsQHdXNm4ZEZHWvFnqQ
